financial_year,actual_revised_estimated,sector,ministry,type,amount,percent_of_gdp
1997,Actual,Government Administration,Organs of State,Development,39,0
1997,Actual,Government Administration,Prime Minister's Office,Operating,121,0.001
1997,Actual,Government Administration,Prime Minister's Office,Development,52,0
1998,Actual,Social Development,Education,Operating,3167,0.022
1998,Actual,Social Development,Education,Development,1686,0.012
1998,Actual,Social Development,National Development,Operating,402,0.003
1998,Actual,Social Development,National Development,Development,2003,0.014
1998,Actual,Social Development,Health,Operating,992,0.007
1998,Actual,Social Development,Health,Development,251,0.002
1998,Actual,Social Development,Sustainability and the Environment,Operating,314,0.002
1998,Actual,Social Development,Sustainability and the Environment,Development,1042,0.007
1998,Actual,Social Development,"Culture, Community and Youth",Operating,0,0
1998,Actual,Social Development,"Culture, Community and Youth",Development,0,0
1998,Actual,Social Development,Social and Family Development,Operating,363,0.003
1998,Actual,Social Development,Social and Family Development,Development,138,0.001
1998,Actual,Social Development,Communications and Information,Operating,194,0.001
1998,Actual,Social Development,Communications and Information,Development,158,0.001
1998,Actual,Social Development,Manpower,Operating,0,0
1998,Actual,Social Development,Manpower,Development,0,0
1998,Actual,Security and External Relations,Defence,Operating,6481,0.046
1998,Actual,Security and External Relations,Defence,Development,775,0.005
1998,Actual,Security and External Relations,Home Affairs,Operating,1032,0.007
1998,Actual,Security and External Relations,Home Affairs,Development,847,0.006
1998,Actual,Security and External Relations,Foreign Affairs,Operating,148,0.001
1998,Actual,Security and External Relations,Foreign Affairs,Development,24,0
1998,Actual,Economic Development,Manpower,Operating,136,0.001
1998,Actual,Economic Development,Manpower,Development,12,0
1998,Actual,Economic Development,Transport,Operating,442,0.003
1998,Actual,Economic Development,Transport,Development,1737,0.012
1998,Actual,Economic Development,Trade and Industry,Operating,315,0.002
1998,Actual,Economic Development,Trade and Industry,Development,2646,0.019
1998,Actual,Economic Development,Info-Communications and Media Development,Operating,0,0
1998,Actual,Economic Development,Info-Communications and Media Development,Development,94,0.001
1998,Actual,Government Administration,Finance,Operating,310,0.002
1998,Actual,Government Administration,Finance,Development,338,0.002
1998,Actual,Government Administration,Law,Operating,97,0.001
1998,Actual,Government Administration,Law,Development,402,0.003
1998,Actual,Government Administration,Organs of State,Operating,135,0.001
1998,Actual,Government Administration,Organs of State,Development,98,0.001
1998,Actual,Government Administration,Prime Minister's Office,Operating,123,0.001
1998,Actual,Government Administration,Prime Minister's Office,Development,32,0
1999,Actual,Social Development,Education,Operating,3257,0.022
1999,Actual,Social Development,Education,Development,1601,0.011
1999,Actual,Social Development,National Development,Operating,358,0.002
1999,Actual,Social Development,National Development,Development,2172,0.014
1999,Actual,Social Development,Health,Operating,936,0.006
1999,Actual,Social Development,Health,Development,153,0.001
1999,Actual,Social Development,Sustainability and the Environment,Operating,329,0.002
1999,Actual,Social Development,Sustainability and the Environment,Development,945,0.006
1999,Actual,Social Development,"Culture, Community and Youth",Operating,0,0
1999,Actual,Social Development,"Culture, Community and Youth",Development,0,0
1999,Actual,Social Development,Social and Family Development,Operating,310,0.002
1999,Actual,Social Development,Social and Family Development,Development,132,0.001
1999,Actual,Social Development,Communications and Information,Operating,220,0.001
1999,Actual,Social Development,Communications and Information,Development,139,0.001
1999,Actual,Social Development,Manpower,Operating,0,0
1999,Actual,Social Development,Manpower,Development,0,0
1999,Actual,Security and External Relations,Defence,Operating,6647,0.044
1999,Actual,Security and External Relations,Defence,Development,620,0.004
1999,Actual,Security and External Relations,Home Affairs,Operating,1101,0.007
1999,Actual,Security and External Relations,Home Affairs,Development,729,0.005
1999,Actual,Security and External Relations,Foreign Affairs,Operating,153,0.001
1999,Actual,Security and External Relations,Foreign Affairs,Development,53,0
1999,Actual,Economic Development,Manpower,Operating,91,0.001
1999,Actual,Economic Development,Manpower,Development,6,0
1999,Actual,Economic Development,Transport,Operating,409,0.003
1999,Actual,Economic Development,Transport,Development,720,0.005
1999,Actual,Economic Development,Trade and Industry,Operating,366,0.002
1999,Actual,Economic Development,Trade and Industry,Development,2073,0.014
1999,Actual,Economic Development,Info-Communications and Media Development,Operating,0,0
1999,Actual,Economic Development,Info-Communications and Media Development,Development,82,0.001
1999,Actual,Government Administration,Finance,Operating,339,0.002
1999,Actual,Government Administration,Finance,Development,199,0.001
1999,Actual,Government Administration,Law,Operating,109,0.001
1999,Actual,Government Administration,Law,Development,310,0.002
1999,Actual,Government Administration,Organs of State,Operating,136,0.001
1999,Actual,Government Administration,Organs of State,Development,251,0.002
1999,Actual,Government Administration,Prime Minister's Office,Operating,108,0.001
1999,Actual,Government Administration,Prime Minister's Office,Development,25,0
2000,Actual,Social Development,Education,Operating,4277,0.025
2000,Actual,Social Development,Education,Development,1591,0.009
2000,Actual,Social Development,National Development,Operating,325,0.002
2000,Actual,Social Development,National Development,Development,2069,0.012
2000,Actual,Social Development,Health,Operating,1072,0.006
2000,Actual,Social Development,Health,Development,140,0.001
2000,Actual,Social Development,Sustainability and the Environment,Operating,390,0.002
2000,Actual,Social Development,Sustainability and the Environment,Development,528,0.003
2000,Actual,Social Development,"Culture, Community and Youth",Operating,0,0
2000,Actual,Social Development,"Culture, Community and Youth",Development,0,0
2000,Actual,Social Development,Social and Family Development,Operating,377,0.002
2000,Actual,Social Development,Social and Family Development,Development,92,0.001
2000,Actual,Social Development,Communications and Information,Operating,213,0.001
2000,Actual,Social Development,Communications and Information,Development,97,0.001
2000,Actual,Social Development,Manpower,Operating,0,0
2000,Actual,Social Development,Manpower,Development,0,0
2000,Actual,Security and External Relations,Defence,Operating,6561,0.039
2000,Actual,Security and External Relations,Defence,Development,861,0.005
2000,Actual,Security and External Relations,Home Affairs,Operating,1300,0.008
2000,Actual,Security and External Relations,Home Affairs,Development,654,0.004
2000,Actual,Security and External Relations,Foreign Affairs,Operating,180,0.001
2000,Actual,Security and External Relations,Foreign Affairs,Development,70,0
2000,Actual,Economic Development,Manpower,Operating,107,0.001
2000,Actual,Economic Development,Manpower,Development,18,0
2000,Actual,Economic Development,Transport,Operating,2390,0.014
2000,Actual,Economic Development,Transport,Development,1130,0.007
2000,Actual,Economic Development,Trade and Industry,Operating,412,0.002
2000,Actual,Economic Development,Trade and Industry,Development,1820,0.011
2000,Actual,Economic Development,Info-Communications and Media Development,Operating,0,0
2000,Actual,Economic Development,Info-Communications and Media Development,Development,179,0.001
2000,Actual,Government Administration,Finance,Operating,388,0.002
2000,Actual,Government Administration,Finance,Development,57,0
2000,Actual,Government Administration,Law,Operating,120,0.001
2000,Actual,Government Administration,Law,Development,131,0.001
2000,Actual,Government Administration,Organs of State,Operating,170,0.001
2000,Actual,Government Administration,Organs of State,Development,38,0
2000,Actual,Government Administration,Prime Minister's Office,Operating,134,0.001
2000,Actual,Government Administration,Prime Minister's Office,Development,18,0
2001,Actual,Social Development,Education,Operating,4767,0.03
2001,Actual,Social Development,Education,Development,1473,0.009
2001,Actual,Social Development,National Development,Operating,398,0.002
2001,Actual,Social Development,National Development,Development,1770,0.011
2001,Actual,Social Development,Health,Operating,1445,0.009
2001,Actual,Social Development,Health,Development,145,0.001
2001,Actual,Social Development,Sustainability and the Environment,Operating,414,0.003
2001,Actual,Social Development,Sustainability and the Environment,Development,502,0.003
2001,Actual,Social Development,"Culture, Community and Youth",Operating,0,0
2001,Actual,Social Development,"Culture, Community and Youth",Development,0,0
2001,Actual,Social Development,Social and Family Development,Operating,513,0.003
2001,Actual,Social Development,Social and Family Development,Development,118,0.001
2001,Actual,Social Development,Communications and Information,Operating,234,0.001
2001,Actual,Social Development,Communications and Information,Development,162,0.001
2001,Actual,Social Development,Manpower,Operating,0,0
2001,Actual,Social Development,Manpower,Development,0,0
2001,Actual,Security and External Relations,Defence,Operating,7089,0.044
2001,Actual,Security and External Relations,Defence,Development,730,0.005
2001,Actual,Security and External Relations,Home Affairs,Operating,1580,0.01
2001,Actual,Security and External Relations,Home Affairs,Development,570,0.004
2001,Actual,Security and External Relations,Foreign Affairs,Operating,196,0.001
2001,Actual,Security and External Relations,Foreign Affairs,Development,62,0
2001,Actual,Economic Development,Manpower,Operating,130,0.001
2001,Actual,Economic Development,Manpower,Development,82,0.001
2001,Actual,Economic Development,Transport,Operating,406,0.003
2001,Actual,Economic Development,Transport,Development,1508,0.009
2001,Actual,Economic Development,Trade and Industry,Operating,553,0.003
2001,Actual,Economic Development,Trade and Industry,Development,1293,0.008
2001,Actual,Economic Development,Info-Communications and Media Development,Operating,24,0
2001,Actual,Economic Development,Info-Communications and Media Development,Development,23,0
2001,Actual,Government Administration,Finance,Operating,352,0.002
2001,Actual,Government Administration,Finance,Development,70,0
2001,Actual,Government Administration,Law,Operating,112,0.001
2001,Actual,Government Administration,Law,Development,213,0.001
2001,Actual,Government Administration,Organs of State,Operating,173,0.001
2001,Actual,Government Administration,Organs of State,Development,30,0
2001,Actual,Government Administration,Prime Minister's Office,Operating,151,0.001
2001,Actual,Government Administration,Prime Minister's Office,Development,18,0
2002,Actual,Social Development,Education,Operating,4824,0.029
2002,Actual,Social Development,Education,Development,1774,0.011
2002,Actual,Social Development,National Development,Operating,409,0.002
2002,Actual,Social Development,National Development,Development,1089,0.007
2002,Actual,Social Development,Health,Operating,1451,0.009
2002,Actual,Social Development,Health,Development,82,0
2002,Actual,Social Development,Sustainability and the Environment,Operating,448,0.003
2002,Actual,Social Development,Sustainability and the Environment,Development,771,0.005
2002,Actual,Social Development,"Culture, Community and Youth",Operating,0,0
2002,Actual,Social Development,"Culture, Community and Youth",Development,0,0
2002,Actual,Social Development,Social and Family Development,Operating,572,0.003
2002,Actual,Social Development,Social and Family Development,Development,112,0.001
2002,Actual,Social Development,Communications and Information,Operating,241,0.001
2002,Actual,Social Development,Communications and Information,Development,143,0.001
2002,Actual,Social Development,Manpower,Operating,0,0
2002,Actual,Social Development,Manpower,Development,0,0
2002,Actual,Security and External Relations,Defence,Operating,7694,0.046
2002,Actual,Security and External Relations,Defence,Development,509,0.003
2002,Actual,Security and External Relations,Home Affairs,Operating,1563,0.009
2002,Actual,Security and External Relations,Home Affairs,Development,478,0.003
2002,Actual,Security and External Relations,Foreign Affairs,Operating,211,0.001
2002,Actual,Security and External Relations,Foreign Affairs,Development,81,0
2002,Actual,Economic Development,Manpower,Operating,156,0.001
2002,Actual,Economic Development,Manpower,Development,38,0
2002,Actual,Economic Development,Transport,Operating,385,0.002
2002,Actual,Economic Development,Transport,Development,1203,0.007
2002,Actual,Economic Development,Trade and Industry,Operating,564,0.003
2002,Actual,Economic Development,Trade and Industry,Development,1009,0.006
2002,Actual,Economic Development,Info-Communications and Media Development,Operating,28,0
2002,Actual,Economic Development,Info-Communications and Media Development,Development,5,0
2002,Actual,Government Administration,Finance,Operating,379,0.002
2002,Actual,Government Administration,Finance,Development,100,0.001
2002,Actual,Government Administration,Law,Operating,103,0.001
2002,Actual,Government Administration,Law,Development,325,0.002
2002,Actual,Government Administration,Organs of State,Operating,186,0.001
2002,Actual,Government Administration,Organs of State,Development,33,0
2002,Actual,Government Administration,Prime Minister's Office,Operating,143,0.001
2002,Actual,Government Administration,Prime Minister's Office,Development,41,0
2003,Actual,Social Development,Education,Operating,4997,0.029
2003,Actual,Social Development,Education,Development,1218,0.007
2003,Actual,Social Development,National Development,Operating,414,0.002
2003,Actual,Social Development,National Development,Development,1865,0.011
2003,Actual,Social Development,Health,Operating,1904,0.011
2003,Actual,Social Development,Health,Development,103,0.001
2003,Actual,Social Development,Sustainability and the Environment,Operating,453,0.003
2003,Actual,Social Development,Sustainability and the Environment,Development,952,0.005
2003,Actual,Social Development,"Culture, Community and Youth",Operating,0,0
2003,Actual,Social Development,"Culture, Community and Youth",Development,0,0
2003,Actual,Social Development,Social and Family Development,Operating,619,0.004
2003,Actual,Social Development,Social and Family Development,Development,90,0.001
2003,Actual,Social Development,Communications and Information,Operating,228,0.001
2003,Actual,Social Development,Communications and Information,Development,160,0.001
2003,Actual,Social Development,Manpower,Operating,0,0
2003,Actual,Social Development,Manpower,Development,0,0
2003,Actual,Security and External Relations,Defence,Operating,7714,0.044
2003,Actual,Security and External Relations,Defence,Development,524,0.003
2003,Actual,Security and External Relations,Home Affairs,Operating,1708,0.01
2003,Actual,Security and External Relations,Home Affairs,Development,439,0.003
2003,Actual,Security and External Relations,Foreign Affairs,Operating,212,0.001
2003,Actual,Security and External Relations,Foreign Affairs,Development,57,0
2003,Actual,Economic Development,Manpower,Operating,158,0.001
2003,Actual,Economic Development,Manpower,Development,54,0
2003,Actual,Economic Development,Transport,Operating,292,0.002
2003,Actual,Economic Development,Transport,Development,1115,0.006
2003,Actual,Economic Development,Trade and Industry,Operating,497,0.003
2003,Actual,Economic Development,Trade and Industry,Development,1421,0.008
2003,Actual,Economic Development,Info-Communications and Media Development,Operating,47,0
2003,Actual,Economic Development,Info-Communications and Media Development,Development,25,0
2003,Actual,Government Administration,Finance,Operating,333,0.002
2003,Actual,Government Administration,Finance,Development,214,0.001
2003,Actual,Government Administration,Law,Operating,96,0.001
2003,Actual,Government Administration,Law,Development,184,0.001
2003,Actual,Government Administration,Organs of State,Operating,182,0.001
2003,Actual,Government Administration,Organs of State,Development,47,0
2003,Actual,Government Administration,Prime Minister's Office,Operating,135,0.001
2003,Actual,Government Administration,Prime Minister's Office,Development,42,0
2004,Actual,Social Development,Education,Operating,4975,0.025
2004,Actual,Social Development,Education,Development,1239,0.006
2004,Actual,Social Development,National Development,Operating,377,0.002
2004,Actual,Social Development,National Development,Development,1153,0.006
2004,Actual,Social Development,Health,Operating,1604,0.008
2004,Actual,Social Development,Health,Development,114,0.001
2004,Actual,Social Development,Sustainability and the Environment,Operating,479,0.002
2004,Actual,Social Development,Sustainability and the Environment,Development,1101,0.006
2004,Actual,Social Development,"Culture, Community and Youth",Operating,0,0
2004,Actual,Social Development,"Culture, Community and Youth",Development,0,0
2004,Actual,Social Development,Social and Family Development,Operating,814,0.004
2004,Actual,Social Development,Social and Family Development,Development,97,0
2004,Actual,Social Development,Communications and Information,Operating,251,0.001
2004,Actual,Social Development,Communications and Information,Development,155,0.001
2004,Actual,Social Development,Manpower,Operating,0,0
2004,Actual,Social Development,Manpower,Development,0,0
2004,Actual,Security and External Relations,Defence,Operating,8243,0.042
2004,Actual,Security and External Relations,Defence,Development,377,0.002
2004,Actual,Security and External Relations,Home Affairs,Operating,1752,0.009
2004,Actual,Security and External Relations,Home Affairs,Development,473,0.002
2004,Actual,Security and External Relations,Foreign Affairs,Operating,233,0.001
2004,Actual,Security and External Relations,Foreign Affairs,Development,49,0
2004,Actual,Economic Development,Manpower,Operating,161,0.001
2004,Actual,Economic Development,Manpower,Development,52,0
2004,Actual,Economic Development,Transport,Operating,289,0.001
2004,Actual,Economic Development,Transport,Development,1776,0.009
2004,Actual,Economic Development,Trade and Industry,Operating,392,0.002
2004,Actual,Economic Development,Trade and Industry,Development,1154,0.006
2004,Actual,Economic Development,Info-Communications and Media Development,Operating,42,0
2004,Actual,Economic Development,Info-Communications and Media Development,Development,33,0
2004,Actual,Government Administration,Finance,Operating,318,0.002
2004,Actual,Government Administration,Finance,Development,308,0.002
2004,Actual,Government Administration,Law,Operating,97,0
2004,Actual,Government Administration,Law,Development,329,0.002
2004,Actual,Government Administration,Organs of State,Operating,187,0.001
2004,Actual,Government Administration,Organs of State,Development,151,0.001
2004,Actual,Government Administration,Prime Minister's Office,Operating,141,0.001
2004,Actual,Government Administration,Prime Minister's Office,Development,40,0
2005,Actual,Social Development,Education,Operating,5215,0.024
2005,Actual,Social Development,Education,Development,867,0.004
2005,Actual,Social Development,National Development,Operating,336,0.002
2005,Actual,Social Development,National Development,Development,1010,0.005
2005,Actual,Social Development,Health,Operating,1680,0.008
2005,Actual,Social Development,Health,Development,85,0
2005,Actual,Social Development,Sustainability and the Environment,Operating,408,0.002
2005,Actual,Social Development,Sustainability and the Environment,Development,775,0.004
2005,Actual,Social Development,"Culture, Community and Youth",Operating,0,0
2005,Actual,Social Development,"Culture, Community and Youth",Development,0,0
2005,Actual,Social Development,Social and Family Development,Operating,844,0.004
2005,Actual,Social Development,Social and Family Development,Development,97,0
2005,Actual,Social Development,Communications and Information,Operating,294,0.001
2005,Actual,Social Development,Communications and Information,Development,110,0.001
2005,Actual,Social Development,Manpower,Operating,0,0
2005,Actual,Social Development,Manpower,Development,0,0
2005,Actual,Security and External Relations,Defence,Operating,8889,0.041
2005,Actual,Security and External Relations,Defence,Development,363,0.002
2005,Actual,Security and External Relations,Home Affairs,Operating,1825,0.008
2005,Actual,Security and External Relations,Home Affairs,Development,460,0.002
2005,Actual,Security and External Relations,Foreign Affairs,Operating,267,0.001
2005,Actual,Security and External Relations,Foreign Affairs,Development,46,0
2005,Actual,Economic Development,Manpower,Operating,166,0.001
2005,Actual,Economic Development,Manpower,Development,36,0
2005,Actual,Economic Development,Transport,Operating,277,0.001
2005,Actual,Economic Development,Transport,Development,1617,0.007
2005,Actual,Economic Development,Trade and Industry,Operating,436,0.002
2005,Actual,Economic Development,Trade and Industry,Development,1055,0.005
2005,Actual,Economic Development,Info-Communications and Media Development,Operating,39,0
2005,Actual,Economic Development,Info-Communications and Media Development,Development,39,0
2005,Actual,Government Administration,Finance,Operating,345,0.002
2005,Actual,Government Administration,Finance,Development,350,0.002
2005,Actual,Government Administration,Law,Operating,100,0
2005,Actual,Government Administration,Law,Development,218,0.001
2005,Actual,Government Administration,Organs of State,Operating,186,0.001
2005,Actual,Government Administration,Organs of State,Development,31,0
2005,Actual,Government Administration,Prime Minister's Office,Operating,136,0.001
2005,Actual,Government Administration,Prime Minister's Office,Development,32,0
2006,Actual,Social Development,Education,Operating,6352,0.026
2006,Actual,Social Development,Education,Development,608,0.002
2006,Actual,Social Development,National Development,Operating,671,0.003
2006,Actual,Social Development,National Development,Development,675,0.003
2006,Actual,Social Development,Health,Operating,1840,0.008
2006,Actual,Social Development,Health,Development,96,0
2006,Actual,Social Development,Sustainability and the Environment,Operating,414,0.002
2006,Actual,Social Development,Sustainability and the Environment,Development,570,0.002
2006,Actual,Social Development,"Culture, Community and Youth",Operating,0,0
2006,Actual,Social Development,"Culture, Community and Youth",Development,0,0
2006,Actual,Social Development,Social and Family Development,Operating,903,0.004
2006,Actual,Social Development,Social and Family Development,Development,103,0
2006,Actual,Social Development,Communications and Information,Operating,341,0.001
2006,Actual,Social Development,Communications and Information,Development,89,0
2006,Actual,Social Development,Manpower,Operating,0,0
2006,Actual,Social Development,Manpower,Development,0,0
2006,Actual,Security and External Relations,Defence,Operating,9273,0.038
2006,Actual,Security and External Relations,Defence,Development,355,0.001
2006,Actual,Security and External Relations,Home Affairs,Operating,2010,0.008
2006,Actual,Security and External Relations,Home Affairs,Development,399,0.002
2006,Actual,Security and External Relations,Foreign Affairs,Operating,257,0.001
2006,Actual,Security and External Relations,Foreign Affairs,Development,86,0
2006,Actual,Economic Development,Manpower,Operating,188,0.001
2006,Actual,Economic Development,Manpower,Development,15,0
2006,Actual,Economic Development,Transport,Operating,285,0.001
2006,Actual,Economic Development,Transport,Development,1518,0.006
2006,Actual,Economic Development,Trade and Industry,Operating,473,0.002
2006,Actual,Economic Development,Trade and Industry,Development,1207,0.005
2006,Actual,Economic Development,Info-Communications and Media Development,Operating,38,0
2006,Actual,Economic Development,Info-Communications and Media Development,Development,46,0
2006,Actual,Government Administration,Finance,Operating,428,0.002
2006,Actual,Government Administration,Finance,Development,10,0
2006,Actual,Government Administration,Law,Operating,106,0
2006,Actual,Government Administration,Law,Development,167,0.001
2006,Actual,Government Administration,Organs of State,Operating,195,0.001
2006,Actual,Government Administration,Organs of State,Development,11,0
2006,Actual,Government Administration,Prime Minister's Office,Operating,151,0.001
2006,Actual,Government Administration,Prime Minister's Office,Development,25,0
2007,Actual,Social Development,Education,Operating,6786,0.024
2007,Actual,Social Development,Education,Development,742,0.003
2007,Actual,Social Development,National Development,Operating,900,0.003
2007,Actual,Social Development,National Development,Development,1187,0.004
2007,Actual,Social Development,Health,Operating,2019,0.007
2007,Actual,Social Development,Health,Development,185,0.001
2007,Actual,Social Development,Sustainability and the Environment,Operating,453,0.002
2007,Actual,Social Development,Sustainability and the Environment,Development,381,0.001
2007,Actual,Social Development,"Culture, Community and Youth",Operating,0,0
2007,Actual,Social Development,"Culture, Community and Youth",Development,0,0
2007,Actual,Social Development,Social and Family Development,Operating,962,0.003
2007,Actual,Social Development,Social and Family Development,Development,234,0.001
2007,Actual,Social Development,Communications and Information,Operating,352,0.001
2007,Actual,Social Development,Communications and Information,Development,95,0
2007,Actual,Social Development,Manpower,Operating,2,0
2007,Actual,Social Development,Manpower,Development,0,0
2007,Actual,Security and External Relations,Defence,Operating,9660,0.035
2007,Actual,Security and External Relations,Defence,Development,349,0.001
2007,Actual,Security and External Relations,Home Affairs,Operating,2428,0.009
2007,Actual,Security and External Relations,Home Affairs,Development,396,0.001
2007,Actual,Security and External Relations,Foreign Affairs,Operating,311,0.001
2007,Actual,Security and External Relations,Foreign Affairs,Development,83,0
2007,Actual,Economic Development,Manpower,Operating,225,0.001
2007,Actual,Economic Development,Manpower,Development,24,0
2007,Actual,Economic Development,Transport,Operating,321,0.001
2007,Actual,Economic Development,Transport,Development,1621,0.006
2007,Actual,Economic Development,Trade and Industry,Operating,528,0.002
2007,Actual,Economic Development,Trade and Industry,Development,1516,0.005
2007,Actual,Economic Development,Info-Communications and Media Development,Operating,37,0
2007,Actual,Economic Development,Info-Communications and Media Development,Development,28,0
2007,Actual,Government Administration,Finance,Operating,438,0.002
2007,Actual,Government Administration,Finance,Development,44,0
2007,Actual,Government Administration,Law,Operating,107,0
2007,Actual,Government Administration,Law,Development,123,0
2007,Actual,Government Administration,Organs of State,Operating,247,0.001
2007,Actual,Government Administration,Organs of State,Development,6,0
2007,Actual,Government Administration,Prime Minister's Office,Operating,176,0.001
2007,Actual,Government Administration,Prime Minister's Office,Development,14,0
2008,Actual,Social Development,Education,Operating,7477,0.028
2008,Actual,Social Development,Education,Development,753,0.003
2008,Actual,Social Development,National Development,Operating,805,0.003
2008,Actual,Social Development,National Development,Development,1095,0.004
2008,Actual,Social Development,Health,Operating,2379,0.009
2008,Actual,Social Development,Health,Development,336,0.001
2008,Actual,Social Development,Sustainability and the Environment,Operating,606,0.002
2008,Actual,Social Development,Sustainability and the Environment,Development,325,0.001
2008,Actual,Social Development,"Culture, Community and Youth",Operating,0,0
2008,Actual,Social Development,"Culture, Community and Youth",Development,0,0
2008,Actual,Social Development,Social and Family Development,Operating,1182,0.004
2008,Actual,Social Development,Social and Family Development,Development,96,0
2008,Actual,Social Development,Communications and Information,Operating,412,0.002
2008,Actual,Social Development,Communications and Information,Development,132,0
2008,Actual,Social Development,Manpower,Operating,340,0.001
2008,Actual,Social Development,Manpower,Development,1,0
2008,Actual,Security and External Relations,Defence,Operating,10397,0.039
2008,Actual,Security and External Relations,Defence,Development,328,0.001
2008,Actual,Security and External Relations,Home Affairs,Operating,2478,0.009
2008,Actual,Security and External Relations,Home Affairs,Development,387,0.001
2008,Actual,Security and External Relations,Foreign Affairs,Operating,344,0.001
2008,Actual,Security and External Relations,Foreign Affairs,Development,61,0
2008,Actual,Economic Development,Manpower,Operating,224,0.001
2008,Actual,Economic Development,Manpower,Development,35,0
2008,Actual,Economic Development,Transport,Operating,367,0.001
2008,Actual,Economic Development,Transport,Development,3379,0.013
2008,Actual,Economic Development,Trade and Industry,Operating,660,0.002
2008,Actual,Economic Development,Trade and Industry,Development,2183,0.008
2008,Actual,Economic Development,Info-Communications and Media Development,Operating,34,0
2008,Actual,Economic Development,Info-Communications and Media Development,Development,48,0
2008,Actual,Government Administration,Finance,Operating,484,0.002
2008,Actual,Government Administration,Finance,Development,25,0
2008,Actual,Government Administration,Law,Operating,118,0
2008,Actual,Government Administration,Law,Development,153,0.001
2008,Actual,Government Administration,Organs of State,Operating,235,0.001
2008,Actual,Government Administration,Organs of State,Development,10,0
2008,Actual,Government Administration,Prime Minister's Office,Operating,194,0.001
2008,Actual,Government Administration,Prime Minister's Office,Development,9,0
2009,Actual,Social Development,Education,Operating,7838,0.027
2009,Actual,Social Development,Education,Development,847,0.003
2009,Actual,Social Development,National Development,Operating,959,0.003
2009,Actual,Social Development,National Development,Development,1307,0.004
2009,Actual,Social Development,Health,Operating,2920,0.01
2009,Actual,Social Development,Health,Development,711,0.002
2009,Actual,Social Development,Sustainability and the Environment,Operating,656,0.002
2009,Actual,Social Development,Sustainability and the Environment,Development,323,0.001
2009,Actual,Social Development,"Culture, Community and Youth",Operating,0,0
2009,Actual,Social Development,"Culture, Community and Youth",Development,0,0
2009,Actual,Social Development,Social and Family Development,Operating,1565,0.005
2009,Actual,Social Development,Social and Family Development,Development,115,0
2009,Actual,Social Development,Communications and Information,Operating,422,0.001
2009,Actual,Social Development,Communications and Information,Development,128,0
2009,Actual,Social Development,Manpower,Operating,354,0.001
2009,Actual,Social Development,Manpower,Development,0,0
2009,Actual,Security and External Relations,Defence,Operating,10603,0.036
2009,Actual,Security and External Relations,Defence,Development,440,0.001
2009,Actual,Security and External Relations,Home Affairs,Operating,2577,0.009
2009,Actual,Security and External Relations,Home Affairs,Development,350,0.001
2009,Actual,Security and External Relations,Foreign Affairs,Operating,343,0.001
2009,Actual,Security and External Relations,Foreign Affairs,Development,71,0
2009,Actual,Economic Development,Manpower,Operating,414,0.001
2009,Actual,Economic Development,Manpower,Development,22,0
2009,Actual,Economic Development,Transport,Operating,371,0.001
2009,Actual,Economic Development,Transport,Development,4082,0.014
2009,Actual,Economic Development,Trade and Industry,Operating,704,0.002
2009,Actual,Economic Development,Trade and Industry,Development,2334,0.008
2009,Actual,Economic Development,Info-Communications and Media Development,Operating,76,0
2009,Actual,Economic Development,Info-Communications and Media Development,Development,38,0
2009,Actual,Government Administration,Finance,Operating,528,0.002
